architecture_family,audio_codec,audio_codec_measured,audio_preserved,bytes,chunk_boundary_mean_delta,codec,commercial_use,context_frames,duplicate_adjacent_frames,duration,filename,fixture,fps,frame_count,gateway_job_id,has_audio,height,inference_seconds,input,license,mean_frame_delta,measured_duration,measured_fps,measured_frame_count,measured_height,measured_width,mime_type,model_id,model_loading_seconds,native_scale,p95_frame_delta,peak_vram_mb,pixel_format,processing_fps,processing_seconds,provider_cost,runtime,runtime_device,static_region_temporal_variation,temporal,vram_measurement,width,worker_job_id
TSCUNet,aac,aac,True,45658,,h264,False,5,0,2.0,result.mp4,natural,6.0,12,gen_b8b3367e-4605-432f-a8df-766073fc38be,True,128,2.153153099992778,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-NC-SA-4.0,4.940134048461914,2.0,6.0,12,128,192,video/mp4,openmodeldb/gameup-v2-tscunet-small-x2,0.0001647999742999673,2,5.02235221862793,,yuv420p,4.997775573432445,2.4010681999789085,0,onnxruntime,cuda,0.6306027770042419,True,unavailable_for_onnxruntime_under_wddm,192,vup_3fdb38d4-d5a1-49f0-b4a4-fa8eb4444d67
SOFVSR,aac,aac,True,60267,,h264,True,3,0,2.0,result.mp4,natural,6.0,12,gen_e18f1e7c-c459-4579-a339-f367692fa9dd,True,128,1.0111308000050485,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-SA-4.0,5.968362808227539,2.0,6.0,12,128,192,video/mp4,openmodeldb/vimeoscale-unet-x2,0.0001647000026423484,2,6.0422163009643555,87.5166015625,yuv420p,9.518103949290724,1.2607552999979816,0,pytorch,cuda,2.700836420059204,True,torch_peak_allocated,192,vup_2bd5de3b-ab6a-47df-8555-86cec7ab6a55
SOFVSR,aac,aac,True,147810,,h264,False,7,0,2.0,result.mp4,natural,6.0,12,gen_d9b601eb-6b07-45ab-a440-c3c5112296f7,True,256,1.5059004000213463,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-NC-SA-4.0,5.830607891082764,2.0,6.0,12,256,384,video/mp4,openmodeldb/redsval-7f-rrdb-lite-x4,0.00016029999824240804,4,5.887141704559326,238.859375,yuv420p,6.359812093004823,1.886848199996166,0,pytorch,cuda,3.064023971557617,True,torch_peak_allocated,384,vup_80b1dd1b-419b-45af-82dd-de4d4063814b
SOFVSR,aac,aac,True,73526,,h264,False,3,0,2.0,result.mp4,natural,6.0,12,gen_06eb4872-6c1f-436c-bf52-b5ada9a3b573,True,192,0.3685778999933973,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-NC-SA-4.0,4.961705207824707,2.0,6.0,12,192,288,video/mp4,openmodeldb/video-tssm-x3,0.00016150000737980008,3,5.012604713439941,92.18310546875,yuv420p,19.17001196706036,0.6259776999941096,0,pytorch,cuda,1.5755558013916016,True,torch_peak_allocated,288,vup_d4fbd0e4-74cb-41b2-a84b-312d01fa60eb
SPAN-48,aac,aac,True,118872,4.202521800994873,h264,,1,0,2.0,result.mp4,natural,6.0,12,gen_60952446-d7b2-4bac-9706-2b19d056d428,True,256,0.7660654000064824,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-SA-4.0,4.202521800994873,2.0,6.0,12,256,384,video/mp4,framewise/4x-purephoto-span,2.5599991204217076e-05,4,4.231416702270508,80.0478515625,yuv420p,10.026820910467418,1.196790099987993,0,pytorch,cuda,1.4622347354888916,False,torch_peak_allocated,384,vup_3fca0f18-e036-448c-b70c-115583c298b7
GRL-small,aac,aac,True,54306,3.768479108810425,h264,,1,0,2.0,result.mp4,natural,6.0,12,gen_32a0a9ac-a9ec-4601-9ba5-2424f53743e4,True,256,1.7275276000145823,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-4.0,3.768479108810425,2.0,6.0,12,256,384,video/mp4,framewise/4x-hfa2k-ludvae-grl-small,3.429999924264848e-05,4,3.8131089210510254,106.1025390625,yuv420p,5.8799035577702865,2.040849800017895,0,pytorch,cuda,0.6344693899154663,False,torch_peak_allocated,384,vup_98edd747-e407-4a96-897a-8d26298f4d56
TSCUNet,aac,aac,True,39028,,h264,False,5,0,2.0,result.mp4,cgi-game,6.0,12,gen_f9b13463-415d-4479-9c09-8862bb98b6f7,True,128,1.4045879000041168,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-NC-SA-4.0,15.447028160095215,2.0,6.0,12,128,192,video/mp4,openmodeldb/gameup-v2-tscunet-small-x2,0.00027970000519417226,2,15.712084770202637,,yuv420p,6.704294894282733,1.7898973999836016,0,onnxruntime,cuda,8.957642555236816,True,unavailable_for_onnxruntime_under_wddm,192,vup_8245768d-5ebb-4c42-bbe4-a22dd4dfa44b
SOFVSR,aac,aac,True,41680,,h264,True,3,0,2.0,result.mp4,cgi-game,6.0,12,gen_01c29d1a-f31b-4f5e-b123-2c578eb6121d,True,128,1.2565451999835204,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-SA-4.0,15.958224296569824,2.0,6.0,12,128,192,video/mp4,openmodeldb/vimeoscale-unet-x2,0.0001875000016298145,2,16.22907257080078,87.5166015625,yuv420p,6.819158585117813,1.7597479000105523,0,pytorch,cuda,10.20430850982666,True,torch_peak_allocated,192,vup_7c7d11df-993e-4be5-b1c5-53346a6b44a0
SOFVSR,aac,aac,True,94898,,h264,False,7,0,2.0,result.mp4,cgi-game,6.0,12,gen_039e6f01-6fa7-4fb7-a14e-cd2ceb219e3c,True,256,1.9936083999928087,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-NC-SA-4.0,15.371472358703613,2.0,6.0,12,256,384,video/mp4,openmodeldb/redsval-7f-rrdb-lite-x4,0.00017839999054558575,4,15.588912010192871,238.859375,yuv420p,5.2999280048683275,2.2641817000112496,0,pytorch,cuda,8.90519905090332,True,torch_peak_allocated,384,vup_0544537a-452c-4a90-a3b8-0729a1bde968
SOFVSR,aac,aac,True,47282,,h264,False,3,0,2.0,result.mp4,cgi-game,6.0,12,gen_7813d9b8-9063-4357-ab7c-dd897caf6fac,True,192,0.27635089997784235,"{'width': 96, 'height': 64, 'fps': 6.0, 'frame_count': 12, 'duration': 2.0, 'codec': 'h264', 'pixel_format': 'yuv420p', 'has_audio': True, 'audio_codec': 'aac', 'rotation': 0}",CC-BY-NC-SA-4.0,8.298949241638184,2.0,6.0,12,192,288,video/mp4,openmodeldb/video-tssm-x3,0.00012810001499019563,3,8.381811141967773,92.18310546875,yuv420p,20.917894647894556,0.5736715000239201,0,pytorch,cuda,4.656162261962891,True,torch_peak_allocated,288,vup_abc4b9d9-0c52-4d25-a7eb-b93e1bd72b9d
